"How to order","So bestellen Sie bei uns"
"Click here to find %s details on revocation</a>","Hier finden Sie die %s Einzelheiten zu Ihrem Widerrufsrecht</a>"
"Shipping cost information","Versandkosten Informationen"
"Click here to find shipping cost information","Hier finden Sie Informationen zu den Versandkosten."
"More information on this payment method can be found %s","Einzelheiten der Zahlungsart finden Sie %s"
"here","hier"
"Bank account holder","Inhaber"
"Bank account number","Kto-Nr."
"Bank sort code","BLZ"
"Bank name","Bankname"
"Incl. tax","Inkl. MwSt."
"Excl. tax","Zzgl. MwSt."
"Incl. %1$s%% tax","inkl. %1$s%% MwSt."
"Excl. %1$s%% tax","zzgl. %1$s%% MwSt."
"Excl. <a href=""%1$s"">shipping</a>","zzgl. <a href=""%1$s"">Versandkosten</a>"
"Shipping costs (CMS page)","Versandkosten (CMS-Seite)"
"Order information (CMS page)","Bestellinfos (CMS-Seite)"
"Revocation terms (CMS page)","Widerrufinfos (CMS-Seite)"
"Delivery information (CMS page)","Lieferinfos (CMS-Seite)"
"Email Field Notice","Datenschutzhinweis unter dem E-Mail Feld"
"Legal info notice about using the Email address for advertising","Rechtlicher Hinweis auf möglichen Werbungsversand auf eingegebene E-Mail Adresse"
"Show Weight Value","Gewicht-Info anzeigen"
"Show the value of weight attribute behind the product price","Gewicht Information hinter dem Produktpreis anzeigen"
"Enable Email Notice","Info-Notiz für E-Mail Feld aktivieren"
"Enable or disable legal information for the Email address field","Information zur Nutzung der E-Mail Adresse für evtl. Werbungsversand aktiveren oder deaktiveren"
"Market Ready Germany Logo","Market Ready Germany Logo"
"Congratulations: <span style=\"color:#000000;\">Market Ready Germany</span><br /> your store has adapted to market requirements<br /> in Germany.","Herzlichen Glückwunsch: <span style=\"color:#000000;\">Market Ready Germany</span><br /> hat Ihren Shop an die Markterfordernisse<br /> in Deutschland angepasst."
"<span style=\"font-weight:bold;\">Market Ready Germany</span> combines the legal expertise of Trusted Shops with the technical innovations of Enterprise Partners Magento Symmetrics. Thanks to the kind support of our sponsors we can offer the module to all users free of Magento. We wish you much success!","<span style=\"font-weight:bold;\">Market Ready Germany</span> vereint das rechtliche Know-how von Trusted Shops mit den technischen Innovationen von Magento Enterprise Partner symmetrics. Dank der freundlichen Unterstützung durch unsere Sponsoren können wir das Modul allen Nutzern von Magento kostenlos anbieten. Wir wünschen viel Erfolg!"
"Symmetrics gmbh - Magento Partner, Certified Developer","symmetrics gmbh - Magento Partner, Certified Developer"
"The next step:<br /> The seal of approval for your Magento store.","Der nächste Schritt:<br />Das Gütesiegel für Ihren Magento-Shop."
"Symmetrics implemented e-commerce solutions based on Magento<br /> Enterprise Edition and<br /> individual interfaces and enhancements.","symmetrics realisiert E-Commerce-Lösungen<br /> auf Basis der Magento Enterprise Edition sowie<br /> individuelle Schnittstellen und Erweiterungen."
"As a strategic partner Magento<br /> and Certified Developer Symmetrics<br /> is in close dialogue with Varien<br /> for the success of customers and partners.","Als strategischer Magento Partner<br /> und Certified Developer steht symmetrics<br /> im engen Dialog mit Varien<br /> für den Erfolg von Kunden und Partnern."
"Find out now!","Informieren Sie sich jetzt!"
"The solutions from Trusted Shops<br /> certainly lead to more conversion.","Die Lösungen von Trusted Shops führen<br /> mit Sicherheit zu mehr Konversion."
"Go up the conversion rate","Steigen Sie die Konversionsrate"
"Do you offer genuine buyer protection","Bieten Sie echten Käuferschutz"
"Reduce your risk","Senken Sie Ihr Abmahnrisiko"
"Trusted Shops - Certified Software","Trusted Shops - Certified Software"
"As already more than 7,000<br /> successful online retailer!","Wie bereits mehr als 7.000<br /> erfolgreiche Online Händler!"
"Special conditions are now using!","Sonderkonditionen jetzt nutzen!"
"Market Ready Germany sponsored by","Market Ready Germany sponsored by"
"Special conditions to use!","Sonderkonditionen nutzen!"
